309.734, 129.490, 3.988,  4.379 False
309.601, 129.490, 4.018,  4.412 False
309.466, 129.489, 4.050,  4.445 False
309.330, 129.490, 4.079,  4.478 False
309.193, 129.490, 4.110,  4.511 False
309.056, 129.490, 4.140,  4.544 False
308.917, 129.490, 4.172,  4.577 False
308.777, 129.490, 4.201,  4.610 False
308.636, 129.490, 4.233,  4.643 False
308.494, 129.490, 4.262,  4.676 False
308.352, 129.490, 4.294,  4.709 False
308.208, 129.490, 4.323,  4.742 False
308.063, 129.490, 4.355,  4.775 False
307.917, 129.490, 4.384,  4.808 False
307.770, 129.490, 4.415,  4.841 False
307.622, 129.490, 4.445,  4.874 False
307.473, 129.490, 4.476,  4.907 False
307.323, 129.490, 4.505,  4.940 False
307.172, 129.490, 4.536,  4.973 False
307.020, 129.489, 4.565,  5.006 False
306.867, 129.489, 4.596,  5.039 False
306.713, 129.488, 4.625,  5.072 False
306.559, 129.488, 4.657,  5.105 False
306.403, 129.488, 4.686,  5.138 False
306.246, 129.488, 4.718,  5.171 False
306.088, 129.488, 4.747,  5.204 False
305.928, 129.487, 4.778,  5.237 False
305.769, 129.487, 4.807,  5.270 False
305.608, 129.487, 4.838,  5.303 False
305.446, 129.487, 4.867,  5.336 False
305.283, 129.487, 4.898,  5.369 False
305.119, 129.486, 4.927,  5.402 False
304.954, 129.486, 4.958,  5.435 False
304.788, 129.486, 4.987,  5.468 False
304.620, 129.486, 5.019,  5.501 False
304.453, 129.486, 5.047,  5.534 False
304.283, 129.486, 5.078,  5.567 False
304.113, 129.485, 5.107,  5.600 False
303.942, 129.485, 5.139,  5.633 False
303.770, 129.485, 5.167,  5.666 False
303.597, 129.485, 5.199,  5.699 False
303.424, 129.488, 5.217,  5.732 False
303.250, 129.492, 5.225,  5.765 False
303.076, 129.496, 5.218,  5.798 False
302.902, 129.501, 5.218,  5.831 False
302.729, 129.507, 5.226,  5.864 False
302.554, 129.513, 5.246,  5.897 False
302.379, 129.519, 5.274,  5.930 False
302.202, 129.524, 5.311,  5.963 False
302.024, 129.531, 5.349,  5.996 False
301.844, 129.537, 5.393,  6.029 False
301.664, 129.545, 5.435,  6.062 False
301.481, 129.552, 5.479,  6.095 False
301.298, 129.562, 5.519,  6.128 False
301.113, 129.572, 5.560,  6.161 False
300.927, 129.583, 5.598,  6.194 False
300.740, 129.595, 5.636,  6.227 False
300.551, 129.606, 5.673,  6.260 False
300.361, 129.617, 5.710,  6.293 False
300.170, 129.628, 5.742,  6.326 False
299.979, 129.640, 5.777,  6.359 False
299.786, 129.652, 5.809,  6.392 False
299.592, 129.663, 5.842,  6.425 False
299.396, 129.675, 5.873,  6.458 False
299.200, 129.686, 5.907,  6.491 False
299.003, 129.698, 5.938,  6.524 False
298.805, 129.710, 5.971,  6.557 False
298.605, 129.722, 6.002,  6.590 False
298.405, 129.735, 6.035,  6.623 False
298.203, 129.747, 6.066,  6.656 False
298.001, 129.760, 6.099,  6.689 False
297.797, 129.774, 6.130,  6.722 False
297.592, 129.787, 6.163,  6.755 False
297.387, 129.800, 6.194,  6.788 False
297.180, 129.814, 6.227,  6.821 False
296.972, 129.827, 6.256,  6.854 False
296.763, 129.841, 6.289,  6.887 False
296.553, 129.855, 6.318,  6.920 False
296.343, 129.869, 6.350,  6.953 False
296.131, 129.883, 6.380,  6.986 False
295.918, 129.897, 6.412,  7.019 False
295.704, 129.911, 6.441,  7.052 False
295.489, 129.926, 6.473,  7.085 False
295.273, 129.940, 6.503,  7.118 False
295.056, 129.955, 6.535,  7.151 False
294.838, 129.970, 6.564,  7.184 False
294.619, 129.985, 6.596,  7.217 False
294.399, 130.001, 6.625,  7.250 False
294.178, 130.016, 6.657,  7.283 False
293.956, 130.031, 6.686,  7.316 False
293.733, 130.047, 6.717,  7.349 False
293.509, 130.062, 6.744,  7.382 False
293.284, 130.078, 6.775,  7.415 False
293.058, 130.094, 6.802,  7.448 False
292.831, 130.109, 6.832,  7.481 False
292.603, 130.125, 6.859,  7.514 False
292.375, 130.141, 6.890,  7.547 False
292.145, 130.157, 6.917,  7.580 False
291.914, 130.173, 6.947,  7.613 False
291.683, 130.190, 6.975,  7.646 False
291.450, 130.206, 7.005,  7.679 False
291.216, 130.224, 7.032,  7.712 False
290.982, 130.243, 7.062,  7.745 False
290.747, 130.261, 7.090,  7.778 False
290.510, 130.278, 7.122,  7.811 False
290.273, 130.296, 7.150,  7.844 False
290.034, 130.313, 7.180,  7.877 False
289.795, 130.330, 7.208,  7.910 False
289.555, 130.348, 7.238,  7.943 False
289.313, 130.365, 7.265,  7.976 False
289.071, 130.382, 7.295,  8.009 False
288.828, 130.399, 7.322,  8.042 False
288.584, 130.416, 7.352,  8.075 False
288.339, 130.434, 7.379,  8.108 False
288.092, 130.451, 7.409,  8.141 False
287.845, 130.468, 7.436,  8.174 False
287.597, 130.485, 7.466,  8.207 False
287.348, 130.502, 7.493,  8.240 False
287.099, 130.518, 7.523,  8.273 False
286.848, 130.535, 7.549,  8.306 False
286.596, 130.552, 7.580,  8.339 False
286.343, 130.569, 7.606,  8.372 False
286.089, 130.586, 7.637,  8.405 False
285.835, 130.602, 7.663,  8.438 False
285.579, 130.619, 7.694,  8.471 False
285.322, 130.636, 7.720,  8.504 False
285.065, 130.651, 7.750,  8.537 False
284.806, 130.668, 7.777,  8.570 False
284.547, 130.684, 7.808,  8.603 False
284.286, 130.698, 7.833,  8.636 False
284.025, 130.712, 7.863,  8.669 False
283.762, 130.725, 7.891,  8.702 False
283.499, 130.738, 7.922,  8.735 False
283.234, 130.749, 7.949,  8.768 False
282.969, 130.760, 7.980,  8.801 False
282.702, 130.771, 8.008,  8.834 False
282.435, 130.780, 8.039,  8.867 False
282.166, 130.789, 8.066,  8.900 False
281.897, 130.797, 8.097,  8.933 False
281.626, 130.805, 8.124,  8.966 False
281.355, 130.813, 8.155,  8.999 False
281.082, 130.819, 8.182,  9.032 False
280.809, 130.827, 8.212,  9.065 False
280.535, 130.833, 8.238,  9.098 False
280.260, 130.838, 8.262,  9.131 False
279.984, 130.842, 8.282,  9.164 False
279.707, 130.846, 8.299,  9.197 False
279.431, 130.849, 8.314,  9.230 False
279.153, 130.851, 8.327,  9.263 False
278.876, 130.853, 8.337,  9.296 False
278.598, 130.854, 8.347,  9.329 False
278.319, 130.855, 8.355,  9.362 False
278.041, 130.856, 8.362,  9.395 False
277.762, 130.857, 8.367,  9.428 False
277.483, 130.856, 8.372,  9.461 False
277.204, 130.856, 8.376,  9.494 False
276.925, 130.854, 8.380,  9.527 False
276.646, 130.852, 8.383,  9.560 False
276.366, 130.850, 8.385,  9.593 False
276.087, 130.846, 8.388,  9.626 False
275.807, 130.843, 8.390,  9.659 False
275.528, 130.840, 8.392,  9.692 False
275.248, 130.837, 8.393,  9.725 False
274.968, 130.833, 8.394,  9.758 False
274.689, 130.829, 8.395,  9.791 False
274.409, 130.824, 8.395,  9.824 False
274.129, 130.818, 8.396,  9.857 False
273.849, 130.813, 8.396,  9.890 False
273.570, 130.808, 8.396,  9.923 False
273.290, 130.801, 8.396,  9.956 False
273.010, 130.795, 8.396,  9.989 False
272.730, 130.788, 8.396, 10.022 False
272.451, 130.780, 8.395, 10.055 False
272.171, 130.773, 8.395, 10.088 False
271.891, 130.765, 8.395, 10.121 False
271.612, 130.757, 8.394, 10.154 False
271.332, 130.748, 8.393, 10.187 False
271.052, 130.740, 8.393, 10.220 False
270.773, 130.731, 8.392, 10.253 False
270.493, 130.722, 8.391, 10.286 False
270.214, 130.713, 8.391, 10.319 False
269.934, 130.704, 8.390, 10.352 False
269.655, 130.694, 8.389, 10.385 False
269.375, 130.684, 8.388, 10.418 False
269.096, 130.674, 8.387, 10.451 False
268.817, 130.664, 8.386, 10.484 False
268.537, 130.654, 8.385, 10.517 False
268.258, 130.644, 8.385, 10.550 False
267.979, 130.633, 8.384, 10.583 False
267.700, 130.623, 8.383, 10.616 False
267.420, 130.612, 8.382, 10.649 False
267.141, 130.601, 8.381, 10.682 False
266.862, 130.589, 8.380, 10.715 False
266.583, 130.578, 8.379, 10.748 False
266.304, 130.567, 8.378, 10.781 False
266.025, 130.555, 8.377, 10.814 False
265.746, 130.544, 8.376, 10.847 False
265.467, 130.532, 8.375, 10.880 False
265.188, 130.520, 8.374, 10.913 False
264.909, 130.508, 8.374, 10.946 False
264.631, 130.495, 8.372, 10.979 False
264.352, 130.483, 8.371, 11.012 False
264.073, 130.470, 8.371, 11.045 False
263.794, 130.457, 8.370, 11.078 False
263.516, 130.444, 8.369, 11.111 False
263.237, 130.432, 8.368, 11.144 False
262.958, 130.419, 8.368, 11.177 False
262.680, 130.406, 8.367, 11.210 False
262.401, 130.392, 8.366, 11.243 False
262.123, 130.379, 8.365, 11.276 False
261.844, 130.366, 8.365, 11.309 False
261.566, 130.353, 8.364, 11.342 False
261.287, 130.340, 8.363, 11.375 False
261.009, 130.326, 8.362, 11.408 False
260.730, 130.313, 8.362, 11.441 False
260.452, 130.300, 8.361, 11.474 False
260.174, 130.286, 8.360, 11.507 False
259.895, 130.273, 8.360, 11.540 False
259.617, 130.259, 8.359, 11.573 False
259.339, 130.245, 8.359, 11.606 False
259.060, 130.232, 8.358, 11.639 False
258.782, 130.218, 8.357, 11.672 False
258.504, 130.205, 8.357, 11.705 False
258.226, 130.191, 8.356, 11.738 False
257.948, 130.177, 8.356, 11.771 False
257.669, 130.164, 8.355, 11.804 False
257.391, 130.150, 8.355, 11.837 False
257.113, 130.137, 8.354, 11.870 False
256.835, 130.123, 8.353, 11.903 False
