-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.029,  0.148
-183.800, 80.198, 0.028,  0.181
-183.800, 80.197, 0.031,  0.214
-183.800, 80.194, 0.101,  0.247
-183.798, 80.187, 0.213,  0.280
-183.795, 80.177, 0.332,  0.313
-183.791, 80.162, 0.452,  0.346
-183.785, 80.144, 0.539,  0.379
-183.777, 80.123, 0.623,  0.412
-183.765, 80.098, 0.801,  0.445
-183.751, 80.065, 1.035,  0.478
-183.738, 80.025, 1.229,  0.511
-183.727, 79.979, 1.392,  0.544
-183.719, 79.929, 1.515,  0.577
-183.712, 79.877, 1.600,  0.610
-183.707, 79.823, 1.652,  0.643
-183.702, 79.768, 1.676,  0.676
-183.697, 79.712, 1.681,  0.709
-183.693, 79.658, 1.670,  0.742
-183.689, 79.604, 1.649,  0.775
-183.685, 79.551, 1.621,  0.808
-183.681, 79.499, 1.588,  0.841
-183.677, 79.448, 1.554,  0.874
-183.673, 79.398, 1.520,  0.907
-183.669, 79.349, 1.488,  0.940
-183.665, 79.301, 1.454,  0.973
-183.661, 79.254, 1.424,  1.006
-183.657, 79.208, 1.399,  1.039
-183.653, 79.162, 1.380,  1.072
-183.649, 79.117, 1.365,  1.105
-183.645, 79.072, 1.356,  1.138
-183.641, 79.028, 1.352,  1.171
-183.637, 78.983, 1.353,  1.204
-183.633, 78.938, 1.359,  1.237
-183.630, 78.892, 1.368,  1.270
-183.626, 78.846, 1.382,  1.303
-183.623, 78.800, 1.397,  1.336
-183.619, 78.753, 1.415,  1.369
-183.616, 78.705, 1.434,  1.402
-183.613, 78.657, 1.453,  1.435
-183.610, 78.608, 1.472,  1.468
-183.607, 78.558, 1.490,  1.501
-183.604, 78.508, 1.507,  1.534
-183.601, 78.457, 1.523,  1.567
-183.598, 78.406, 1.536,  1.600
-183.595, 78.355, 1.548,  1.633
-183.592, 78.303, 1.559,  1.666
-183.589, 78.251, 1.568,  1.699
-183.586, 78.199, 1.575,  1.732
